,ARI,,,,,
27_mini-em_AKBKQKDK_0.2,0.544912855,,,,,
27_kmeans_AKJBKQKDK_0.2,1,,,,,
28_random_AKJBKQKDK_0.2,0.895068219,,,,,
28_vector_ABKQKDK_0.05,0.566084081,,,,,
28_mini-em_AKBKQKDK_0.1,0.547616614,,,,,
28_kmeans_AKJBQKDK_0.2,1,,,,,
29_random_AKBKQKDK_0.05,0.569096864,,,,,
29_vector_ABKQKDK_0.05,0.565852785,,,,,
29_mini-em_AKBKQKDK_0.2,0.548764648,,,,,
29_kmeans_AKJBKQKDK_0.2,1,,,,,
30_random_AKBKQKDK_0.1,0.905777233,,,,,
30_vector_ABKQKDK_0.05,0.563425556,,,,,
30_mini-em_AKBKQKDK_0.1,0.905777233,,,,,
30_kmeans_AKJBKQKDK_0.2,1,,,,,
31_random_AKJBQKDK_0.2,0.897730633,,,,,
31_vector_ABKQKDK_0.1,0.566572424,,,,,
31_mini-em_AKJBKQKDK_0.1,0.548275592,,,,,
31_kmeans_AKJBKQKDK_0.2,1,,,,,
32_random_ABKQKDK_0.05,0.565204179,,,,,
32_vector_AKJBQKDK_0.2,1,,,,,
32_mini-em_AKBKQKDK_0.1,0.545280973,,,,,
32_kmeans_AKJBQKDK_0.2,1,,,,,
33_random_AKJBKQKDK_0.2,0.911190884,,,,,
33_vector_AKJBKQKDK_0.2,1,,,,,
33_mini-em_AKBKQKDK_0.1,0.546960669,,,,,
33_kmeans_AKJBKQKDK_0.2,1,,,,,
34_random_AKJBQKDK_0.2,1,,,,,
34_vector_ABKQKDK_0.1,0.565630104,,,,,
34_mini-em_ABKQKDK_0.1,0.56344478,,,,,
34_kmeans_AKJBQKDK_0.2,1,,,,,
35_random_AKBKQKDK_0.2,0.895068219,,,,,
35_vector_ABKQKDK_0.05,0.564646724,,,,,
35_mini-em_AKBKQKDK_0.2,0.545798185,,,,,
35_kmeans_AKJBQKDK_0.2,1,,,,,
36_random_AKBKQKDK_0.2,0.911190884,,,,,
36_vector_ABKQKDK_0.05,0.56450497,,,,,
36_mini-em_AKBKQKDK_0.05,0.552013254,,,,,
36_kmeans_AKJBKQKDK_0.2,1,,,,,
37_random_AKBKQKDK_0.2,0.884518042,,,,,
37_vector_ABKQKDK_0.05,0.562810943,,,,,
37_mini-em_AKBKQKDK_0.2,0.547451148,,,,,
37_kmeans_AKJBKQKDK_0.2,1,,,,,
38_random_AKBKQKDK_0.1,0.530520553,,,,,
38_vector_AKJBQKDK_0.2,1,,,,,
38_mini-em_AKBKQKDK_0.05,0.547088126,,,,,
38_kmeans_AKJBQKDK_0.2,1,,,,,
39_random_AKJBKQKDK_0.1,0.908479147,,,,,
39_vector_ABKQKDK_0.05,0.564825986,,,,,
39_mini-em_AKJBKQKDK_0.2,0.908479147,,,,,
39_kmeans_AKJBQKDK_0.2,1,,,,,
40_random_AKBKQKDK_0.2,0.892415732,,,,,
40_vector_AKJBKQKDK_0.2,1,,,,,
40_mini-em_AKJBKQKDK_0.2,0.892415732,,,,,
40_kmeans_AKJBKQKDK_0.1,1,,,,,
41_random_AKBKQKDK_0.2,0.895068219,,,,,
41_vector_AKJBQKDK_0.2,1,,,,,
41_mini-em_AKBKQKDK_0.1,0.545133301,,,,,
41_kmeans_AKJBQKDK_0.2,1,,,,,
42_random_AKBKQKDK_0.2,0.905777233,,,,,
42_vector_AKJBKQKDK_0.2,0.905777233,,,,,
42_mini-em_AKBKQKDK_0.2,0.550270372,,,,,
42_kmeans_AKJBQKDK_0.2,1,,,,,
43_random_AKBKQKDK_0.2,0.908479147,,,,,
43_vector_ABKQKDK_0.05,0.564005805,,,,,
43_mini-em_AKBKQKDK_0.05,0.547453358,,,,,
43_kmeans_AKJBKQKDK_0.2,1,,,,,
44_random_AKBQKDK_0.1,0.900402954,,,,,
44_vector_ABKQKDK_0.05,0.565852785,,,,,
44_mini-em_AKBKQKDK_0.2,0.547453358,,,,,
44_kmeans_AKJBQKDK_0.2,1,,,,,
45_random_AKBKQKDK_0.2,0.911190884,,,,,
45_vector_ABKQKDK_0.2,0.569523039,,,,,
45_mini-em_AKBKQKDK_0.1,0.54907041,,,,,
45_kmeans_AKJBKQKDK_0.2,1,,,,,
46_random_AKBKQKDK_0.2,0.903085161,,,,,
46_vector_AKJBKQKDK_0.2,1,,,,,
46_mini-em_AKBKQKDK_0.2,0.545559635,,,,,
46_kmeans_AKJBKQKDK_0.2,1,,,,,
47_random_AKBKQKDK_0.2,0.889773193,,,,,
47_vector_ABKQKDK_0.05,0.562404563,,,,,
47_mini-em_AKBKQKDK_0.1,0.547091463,,,,,
47_kmeans_AKJBKQKDK_0.2,1,,,,,
48_random_AKBQKDK_0.1,0.407963408,,,,,
48_vector_ABKQKDK_0.05,0.564825986,,,,,
48_mini-em_AKBKQKDK_0.1,0.548422946,,,,,
48_kmeans_AKJBKQKDK_0.2,1,,,,,
49_random_AKBKQKDK_0.2,0.900402954,,,,,
49_vector_ABKQKDK_0.05,0.566084081,,,,,
49_mini-em_AKBKQKDK_0.05,0.547811138,,,,,
49_kmeans_AKJBQKDK_0.2,1,,,,,
