,CCR,ARI,,Random Perfect CCR,Random Perfect ARI,Random Perfect Both
mini-em_ABKQKDK_0.3,0.652652653,0.550987238,,,,
mini-em_ABKQKDK_0.4,0.653653654,0.552305859,,,,
mini-em_ABKQKDK_0.5,0.658658659,0.559354404,,,,
mini-em_ABKQKDK_0.6,0.334334334,0.566539828,,,,
mini-em_ABQKDK_0.01,0.333333333,1,,,,
mini-em_ABQKDK_0.1,0.004004004,0.583269035,,,,
mini-em_ABQKDK_0.2,0.333333333,1,,,,
mini-em_ABQKDK_0.3,0.662662663,0.519811937,,,,
mini-em_ABQKDK_0.4,0.333333333,1,,,,
mini-em_ABQKDK_0.5,0,1,,,,
mini-em_ABQKDK_0.6,0.333333333,1,,,,
kmeans_AKJBKQKDK_0.01,0.333333333,1,,Kmeans Perfect CCR,Kmeans Perfect ARI,Kmeans Perfect Both
kmeans_AKJBKQKDK_0.1,0,1,,2,41,2
kmeans_AKJBKQKDK_0.2,0,1,,,,
kmeans_AKJBKQKDK_0.3,0.333333333,1,,,,
kmeans_AKJBKQKDK_0.4,0,1,,,,
kmeans_AKJBKQKDK_0.5,0,1,,,,
kmeans_AKJBKQKDK_0.6,0.333333333,1,,,,
kmeans_AKJBQKDK_0.01,0.333333333,1,,,,
kmeans_AKJBQKDK_0.1,0,1,,,,
kmeans_AKJBQKDK_0.2,0.333333333,1,,,,
kmeans_AKJBQKDK_0.3,0,1,,,,
kmeans_AKJBQKDK_0.4,0.333333333,1,,,,
kmeans_AKJBQKDK_0.5,0.333333333,1,,,,
kmeans_AKJBQKDK_0.6,0,1,,,,
kmeans_AKBKQKDK_0.01,0.333333333,1,,,,
kmeans_AKBKQKDK_0.1,0.333333333,1,,,,
kmeans_AKBKQKDK_0.2,0,1,,,,
kmeans_AKBKQKDK_0.3,0,1,,,,
kmeans_AKBKQKDK_0.4,0.333333333,1,,,,
kmeans_AKBKQKDK_0.5,0,1,,,,
kmeans_AKBKQKDK_0.6,0.333333333,1,,,,
kmeans_AKBQKDK_0.01,1,1,,,,
kmeans_AKBQKDK_0.1,0.333333333,1,,,,
kmeans_AKBQKDK_0.2,0,1,,,,
kmeans_AKBQKDK_0.3,0.333333333,1,,,,
kmeans_AKBQKDK_0.4,0,1,,,,
kmeans_AKBQKDK_0.5,0.333333333,1,,,,
