"","t.1","t.2","t.3","tw.1","tw.2","tw.3","L"
"1",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.78174920083278e-07,6.1384478312127e-06,2.34221578502697e-09,-4236.90723144781
"2",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,9.68244898551902e-07,9.86802918626576e-08,3.6761806223534e-09,-4236.90723144781
"3",9.9999970000009e-08,0.99999980000006,9.99999700010371e-08,4.44955366938271e-07,1.43356431430842e-08,1.30909033982146e-08,-4236.90723144781
"4",9.9999970000009e-08,0.99999980000006,9.9999970010075e-08,3.61483387719405e-07,1.3244582805798e-08,1.4748564785228e-08,-4236.90723144781
"5",0.99999980000006,9.9999970000009e-08,9.9999970000009e-08,2.28861842195716,3.60013316356898e-08,5.60042558967956e-09,-4236.90723144781
"6",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.38921016647607e-06,8.03318797903288e-08,3.91810912061474e-09,-4236.90723144781
"7",9.9999970000009e-08,0.99999980000006,9.99999700000528e-08,6.22428157033781e-07,1.61205046815609e-08,1.11884993893157e-08,-4236.90723144781
"8",9.99999700000099e-08,0.99999980000006,9.9999970000009e-08,4.87353734021621e-06,5.30714318245399e-08,4.59207993552825e-09,-4236.90723144781
"9",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.94609869244878e-07,2.49866159079724e-07,2.99675562038757e-09,-4236.90723144781
"10",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.26154385936214e-08,2.68196349650872e-08,1.08011181460274e-09,-4236.90723144781
"11",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.72716091153052e-08,1.42315615475016e-07,1.5691854701996e-09,-4236.90723144781
"12",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.36674648802145e-08,1.21241648467847e-07,1.5287440103533e-09,-4236.90723144781
"13",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,5.03978728979679e-08,6.63764947096125e-08,1.36261635127881e-09,-4236.90723144781
"14",9.9999970000009e-08,0.99999980000006,9.99999700000092e-08,1.34972797055254e-06,2.01754593545465e-08,8.72179345605519e-09,-4236.90723144781
"15",9.9999970000009e-08,9.99999732696946e-08,0.999999800000057,4.88074270699738e-08,4.70901070378339e-09,2.86590377257656e-06,-4236.90723144781
"16",9.9999970000009e-08,9.99999700000462e-08,0.99999980000006,5.0490279261917e-08,4.81168389138737e-09,7.88020686826604e-06,-4236.90723144781
"17",9.9999970000009e-08,0.990653005498002,0.00934689450202831,3.34385932591318e-08,3.66932127415558e-09,8.18841867494795e-08,-4236.90723144781
"18",9.9999970000009e-08,0.392131737774202,0.607868162225828,7.57255510657982e-08,6.16246101146384e-09,2.14305101237177e-07,-4236.90723144781
"19",9.9999970000009e-08,0.00175189802507596,0.998248001974954,6.99896802693657e-08,5.88219030182447e-09,3.41895708863235e-07,-4236.90723144781
"20",9.99999700000096e-08,0.99999980000006,9.9999970000009e-08,1.95137534461196e-06,2.1996478200291e-08,8.03740335784438e-09,-4236.90723144781
"21",9.9999970000009e-08,0.999999799998792,1.00001238430324e-07,1.36841310655388e-08,1.91741730839167e-09,5.92845958304268e-09,-4236.90723144781
