"","t.1","t.2","t.3","tw.1","tw.2","tw.3","L"
"1",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999993127,11.4999999999999,11.4999997028225,-14794.4234318752
"2",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999998735,11.4999999999965,11.4999998106584,-14794.4234318752
"3",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999997248,11.4999999999757,11.4999999468292,-14794.4234318752
"4",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999996612,11.4999999999737,11.4999999528053,-14794.4234318752
"5",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.5,11.4999999999903,11.4999998757141,-14794.4234318752
"6",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999999119,11.4999999999957,11.4999998223496,-14794.4234318752
"7",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999998033,11.4999999999784,11.4999999377885,-14794.4234318752
"8",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999999749,11.4999999999934,11.499999848423,-14794.4234318752
"9",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999996897,11.4999999999986,11.4999997677309,-14794.4234318752
"10",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999962455,11.499999999987,11.4999993555725,-14794.4234318752
"11",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999981797,11.4999999999976,11.4999995564235,-14794.4234318752
"12",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999980767,11.4999999999971,11.4999995446891,-14794.4234318752
"13",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999975703,11.4999999999948,11.4999994891785,-14794.4234318752
"14",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999999093,11.4999999999828,11.4999999201937,-14794.4234318752
"15",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999974911,11.4999999999261,11.4999999997571,-14794.4234318752
"16",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999975747,11.4999999999277,11.4999999999117,-14794.4234318752
"17",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.499999996338,11.4999999999052,11.4999999914995,-14794.4234318752
"18",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999983829,11.4999999999435,11.499999996752,-14794.4234318752
"19",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999982504,11.4999999999408,11.4999999979641,-14794.4234318752
"20",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999999372,11.4999999999842,11.4999999133982,-14794.4234318752
"21",9.9999970000009e-08,9.9999970000009e-08,0.99999980000006,11.4999999910514,11.4999999998185,11.4999998825911,-14794.4234318752
