"","t.1","t.2","t.3","tw.1","tw.2","tw.3","L"
"1",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.68797292848119e-07,6.1384478312127e-06,2.47233888416716e-09,-2585.60866524088
"2",0.999988285435376,1.16145646540286e-05,9.9999970000009e-08,9.17284644798169e-07,9.86802918626576e-08,3.8804128790819e-09,-2585.60866524088
"3",0.999999799979662,1.00020368163355e-07,9.9999970000009e-08,4.21536664273626e-07,1.43356431430842e-08,1.38181758083527e-08,-2585.60866524088
"4",0.999999799910553,1.00089476989243e-07,9.9999970000009e-08,3.42457946827047e-07,1.3244582805798e-08,1.55679294944092e-08,-2585.60866524088
"5",0.99999980000006,9.9999970000009e-08,9.9999970000009e-08,2.1911150554955,3.60013316356898e-08,5.91156034450182e-09,-2585.60866524088
"6",0.999999782985828,1.17014202012169e-07,9.9999970000009e-08,1.31609385029235e-06,8.03318797903288e-08,4.13578184945949e-09,-2585.60866524088
"7",0.999999799998403,1.00001626764508e-07,9.9999970000009e-08,5.89668782027548e-07,1.61205046815609e-08,1.18100826880838e-08,-2585.60866524088
"8",0.99999980000006,9.9999970078014e-08,9.9999970000009e-08,4.61703547792243e-06,5.30714318245399e-08,4.84719548739451e-09,-2585.60866524088
"9",6.55386668296836e-05,0.9999343613332,9.9999970000009e-08,3.7384092943346e-07,2.49866159079724e-07,3.16324204369664e-09,-2585.60866524088
"10",3.34134171358041e-06,0.999996558658316,9.9999970000009e-08,3.08988365669905e-08,2.68196349650872e-08,1.14011802651916e-09,-2585.60866524088
"11",1.00061804176606e-07,0.999999799938226,9.9999970000009e-08,6.3730998128858e-08,1.42315615475016e-07,1.65636244075369e-09,-2585.60866524088
"12",1.00207281273349e-07,0.999999799792749,9.9999970000009e-08,6.0316545693568e-08,1.21241648467847e-07,1.61367423313879e-09,-2585.60866524088
"13",1.14392689026529e-07,0.999999785607341,9.9999970000009e-08,4.77453532827717e-08,6.63764947096125e-08,1.43831725967372e-09,-2585.60866524088
"14",0.999999800000057,9.99999729790072e-08,9.9999970000009e-08,1.27868966421171e-06,2.01754593545465e-08,9.20633753655924e-09,-2585.60866524088
"15",0.999993668972419,6.2310276112026e-06,9.99999700000091e-08,4.62386151292511e-08,4.70901070378339e-09,3.02512060694819e-06,-2585.60866524088
"16",0.99999447943851,5.42056151975466e-06,9.99999700091455e-08,4.78328961539218e-08,4.81168389138737e-09,8.31799582207055e-06,-2585.60866524088
"17",0.999972865744862,2.70342551683151e-05,9.9999970000009e-08,3.16786673029729e-08,3.66932127415558e-09,8.64333082013708e-08,-2585.60866524088
"18",0.999998934399928,9.65600101554766e-07,9.9999970000009e-08,7.17399957714086e-08,6.16246101146384e-09,2.26210939960604e-07,-2585.60866524088
"19",0.999998546165274,1.35383475577773e-06,9.9999970000009e-08,6.63060129080066e-08,5.88219030182447e-09,3.60889914315122e-07,-2585.60866524088
"20",0.99999980000006,9.99999701160401e-08,9.9999970000009e-08,1.84867139561614e-06,2.1996478200291e-08,8.48392576628409e-09,-2585.60866524088
"21",0.999552105776299,0.00044779422373054,9.9999970000009e-08,1.29639136418487e-08,1.91741730839167e-09,6.25781844858805e-09,-2585.60866524088
