"","t.1","t.2","t.3","tw.1","tw.2","tw.3","L"
"1",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.20714861118887e-75,4.35416734689238e-58,1.60207559716203e-66,-27079.9752501331
"2",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.74284096413228e-74,6.99965676605857e-60,2.51450754630093e-66,-27079.9752501331
"3",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,8.0091969147789e-75,1.01686546413939e-60,8.95417793388584e-66,-27079.9752501331
"4",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.50670118347663e-75,9.39473639685976e-61,1.0088018325261e-65,-27079.9752501331
"5",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,5.14302886414341e-68,2.55367063109351e-60,3.83069110491292e-66,-27079.9752501331
"6",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.50057860172904e-74,5.69815486348609e-60,2.67998663920829e-66,-27079.9752501331
"7",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.12037074329996e-74,1.14347046129066e-60,7.65293358915139e-66,-27079.9752501331
"8",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,8.77237092999589e-74,3.76449844614151e-60,3.14098267691496e-66,-27079.9752501331
"9",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,7.10297789013868e-75,1.77236745148542e-59,2.04978084472224e-66,-27079.9752501331
"10",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,5.87077896350212e-76,1.90238835566888e-60,7.38796481201073e-67,-27079.9752501331
"11",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.21088897115884e-75,1.00948268975708e-59,1.07332286168077e-66,-27079.9752501331
"12",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.14601437418854e-75,8.59999408870955e-60,1.04566090314057e-66,-27079.9752501331
"13",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,9.07161716138989e-76,4.70826210813123e-60,9.32029584313748e-67,-27079.9752501331
"14",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.42951063214052e-74,1.43109922913375e-60,5.9657067280093e-66,-27079.9752501331
"15",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,8.78533690988134e-76,3.34022708513199e-61,1.96027866881135e-63,-27079.9752501331
"16",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,9.08825030704664e-76,3.41305591986359e-61,5.39006519094449e-63,-27079.9752501331
"17",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.01894680414504e-76,2.60274759898724e-61,5.60087841311569e-65,-27079.9752501331
"18",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.36305992815989e-75,4.37119821529074e-61,1.46584691966641e-64,-27079.9752501331
"19",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.25981425251589e-75,4.17239471387767e-61,2.33856671797114e-64,-27079.9752501331
"20",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.5124762163154e-74,1.56026896081475e-60,5.49758390018675e-66,-27079.9752501331
"21",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.46314359472794e-76,1.36007531694297e-61,4.05506635658105e-66,-27079.9752501331
