t,,,,tw,,,,L,
,1.00E-07,0.9999998,1.00E-07,,1.69E-07,8.602054375,0.019599818,,-1048.748703
,0.021336445,0.978663455,1.00E-07,,9.17E-07,0.523765578,0.030732693,,
,0.999602653,0.00012833,0.000269018,,4.22E-07,0.079171331,0.108695405,,
,0.988174797,0.0005597,0.011265502,,3.42E-07,0.073184088,0.122312785,,
,0.9999998,1.00E-07,1.00E-07,,2.191115049,0.196776856,0.046753887,,
,0.93045814,0.06954176,1.00E-07,,1.32E-06,0.430019299,0.032749444,,
,0.999988537,1.04E-05,1.05E-06,,5.90E-07,0.088952325,0.093027285,,
,0.9999998,1.00E-07,1.00E-07,,4.62E-06,0.287744443,0.038364024,,
,1.00E-07,0.9999998,1.00E-07,,3.74E-07,1.239710336,0.025065113,,
,1.00E-07,0.9999998,1.00E-07,,3.09E-08,0.147233862,0.009046756,,
,1.00E-07,0.9999998,1.00E-07,,6.37E-08,0.74045651,0.013138439,,
,1.00E-07,0.9999998,1.00E-07,,6.03E-08,0.636882706,0.012800209,,
,1.00E-07,0.9999998,1.00E-07,,4.77E-08,0.357638856,0.011410598,,
,0.999999782,1.18E-07,1.00E-07,,1.28E-06,0.111111225,0.072647309,,
,1.00E-07,1.00E-07,0.9999998,,4.62E-08,0.026127199,7.777062333,,
,1.00E-07,1.00E-07,0.9999998,,4.78E-08,0.026695543,9.794752413,,
,1.00E-07,1.00E-07,0.9999998,,3.17E-08,0.020368865,0.647722574,,
,1.00E-07,1.00E-07,0.9999998,,7.17E-08,0.034167478,1.553684554,,
,1.00E-07,1.00E-07,0.9999998,,6.63E-08,0.032617938,2.294166278,,
,0.999999799,1.01E-07,1.00E-07,,1.85E-06,0.121034473,0.066979952,,
,1.00E-07,4.90E-07,0.99999941,,1.30E-08,0.010652834,0.049480622,,
