"","t.1","t.2","t.3","tw.1","tw.2","tw.3","L"
"1",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.20714861118887e-75,8.16399710340248e-58,2.09159869645508e-56,-29829.4254482786
"2",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.74284096413228e-74,1.31242492559912e-59,3.28282929681101e-56,-29829.4254482786
"3",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,8.0091969147789e-75,1.90660717478142e-60,1.1690176747913e-55,-29829.4254482786
"4",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.50670118347663e-75,1.76149868897284e-60,1.31704683700995e-55,-29829.4254482786
"5",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,5.14302886414341e-68,4.78809333090309e-60,5.00118005401939e-56,-29829.4254482786
"6",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.50057860172904e-74,1.0683953117567e-59,3.49887144590104e-56,-29829.4254482786
"7",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.12037074329996e-74,2.14398960583496e-60,9.99132996437961e-56,-29829.4254482786
"8",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,8.77237092999589e-74,7.05837694364162e-60,4.10072738406419e-56,-29829.4254482786
"9",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,7.10297789013868e-75,3.32316183263349e-59,2.67610276970346e-56,-29829.4254482786
"10",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,5.87077896350212e-76,3.56694903706723e-60,9.64539850530836e-57,-29829.4254482786
"11",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.21088897115884e-75,1.89276458586135e-59,1.40128262507945e-56,-29829.4254482786
"12",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.14601437418854e-75,1.61248572312254e-59,1.36516840142697e-56,-29829.4254482786
"13",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,9.07161716138989e-76,8.82791935874417e-60,1.21681640183615e-56,-29829.4254482786
"14",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.42951063214052e-74,2.68328914130233e-60,7.78856156216426e-56,-29829.4254482786
"15",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,8.78533690988134e-76,6.2628746382903e-61,2.55925270669974e-53,-29829.4254482786
"16",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,9.08825030704664e-76,6.39942758824003e-61,7.0370295553832e-53,-29829.4254482786
"17",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,6.01894680414505e-76,4.8801118942259e-61,7.31225792879446e-55,-29829.4254482786
"18",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.36305992815989e-75,8.19592972086879e-61,1.91374458971106e-54,-29829.4254482786
"19",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,1.25981425251589e-75,7.82317619984462e-61,3.0531287709184e-54,-29829.4254482786
"20",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,3.5124762163154e-74,2.92548041032729e-60,7.17740120357135e-56,-29829.4254482786
"21",9.9999970000009e-08,0.99999980000006,9.9999970000009e-08,2.46314359472794e-76,2.55012039347923e-61,5.29411441038633e-56,-29829.4254482786
