bic,-23658.13505821158
icl,-23644.77553739592
c,l
100.0,96.0,7.0,0.0,0.0,26.0,100.0,95.0,100.0,100.0,62.0,12.0,100.0,96.0,95.0,100.0,63.0,26.0,100.0,86.0,86.0,100.0,58.0,64.0,100.0,40.0,0.0,100.0,0.0,2.0,0.0,85.0,3.0,100.0,20.0,28.0,0.0,100.0,9.0,0.0,85.0,100.0,0.0,0.0,100.0,100.0,0.0,96.0,100.0,0.0,15.0,100.0,98.0,93.0,100.0,97.0,58.0,0.0,53.0,75.0,100.0,45.0,72.0,0.0,55.0,86.0,100.0,100.0,96.0,0.0,0.0,0.0,100.0,96.0,87.0,100.0,0.0,0.0,100.0,97.0,87.0,100.0,43.0,42.0,0.0,93.0,100.0,100.0,100.0,100.0,0.0,0.0,22.0,100.0,39.0,86.0,100.0,0.0,0.0,100.0,97.0,100.0,100.0,22.0,22.0,100.0,100.0,38.0,100.0,0.0,2.0,0.0,96.0,18.0,100.0
0.0,3.0,92.0,100.0,99.0,61.0,0.0,0.0,0.0,0.0,34.0,45.0,0.0,2.0,2.0,0.0,30.0,43.0,0.0,1.0,1.0,0.0,30.0,31.0,0.0,48.0,91.0,0.0,76.0,55.0,100.0,1.0,97.0,0.0,80.0,66.0,100.0,0.0,90.0,100.0,2.0,0.0,100.0,53.0,0.0,0.0,91.0,2.0,0.0,100.0,42.0,0.0,0.0,0.0,0.0,2.0,30.0,100.0,20.0,12.0,0.0,55.0,22.0,100.0,42.0,2.0,0.0,0.0,2.0,100.0,64.0,55.0,0.0,2.0,1.0,0.0,100.0,55.0,0.0,0.0,2.0,0.0,44.0,54.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,58.0,71.0,0.0,58.0,2.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,61.0,47.0,0.0,0.0,61.0,0.0,83.0,57.0,100.0,4.0,69.0,0.0
0.0,1.0,1.0,0.0,1.0,13.0,0.0,5.0,0.0,0.0,4.0,43.0,0.0,2.0,3.0,0.0,7.0,31.0,0.0,13.0,13.0,0.0,12.0,5.0,0.0,12.0,9.0,0.0,24.0,43.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,47.0,0.0,0.0,9.0,2.0,0.0,0.0,43.0,0.0,2.0,7.0,0.0,1.0,12.0,0.0,27.0,13.0,0.0,0.0,6.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,36.0,45.0,0.0,2.0,12.0,0.0,0.0,45.0,0.0,3.0,11.0,0.0,13.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,0.0,3.0,12.0,0.0,13.0,13.0,0.0,3.0,0.0,0.0,17.0,31.0,0.0,0.0,1.0,0.0,17.0,41.0,0.0,0.0,13.0,0.0
converged,89
