bic,-23677.669942322707
icl,-23663.65287658243
c,l
100.0,81.0,2.0,0.0,0.0,30.0,100.0,93.0,100.0,100.0,75.0,8.0,100.0,82.0,80.0,100.0,76.0,31.0,100.0,80.0,78.0,100.0,71.0,76.0,100.0,21.0,0.0,100.0,0.0,0.0,0.0,77.0,0.0,100.0,25.0,33.0,0.0,100.0,1.0,0.0,77.0,100.0,0.0,0.0,100.0,100.0,0.0,81.0,100.0,0.0,9.0,100.0,93.0,93.0,100.0,84.0,71.0,0.0,59.0,68.0,100.0,58.0,57.0,0.0,69.0,78.0,100.0,100.0,81.0,0.0,0.0,0.0,100.0,81.0,77.0,100.0,0.0,0.0,100.0,84.0,78.0,100.0,60.0,40.0,0.0,81.0,100.0,100.0,100.0,100.0,0.0,0.0,14.0,100.0,56.0,79.0,100.0,0.0,0.0,100.0,85.0,100.0,100.0,29.0,29.0,100.0,100.0,43.0,100.0,0.0,0.0,0.0,83.0,24.0,100.0
0.0,3.0,89.0,100.0,97.0,38.0,0.0,0.0,0.0,0.0,4.0,39.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,1.0,3.0,0.0,2.0,5.0,0.0,69.0,79.0,0.0,64.0,54.0,100.0,3.0,100.0,0.0,75.0,66.0,100.0,0.0,92.0,100.0,12.0,0.0,100.0,58.0,0.0,0.0,78.0,12.0,0.0,100.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,31.0,20.0,0.0,42.0,27.0,100.0,28.0,12.0,0.0,0.0,12.0,100.0,50.0,39.0,0.0,11.0,1.0,0.0,100.0,40.0,0.0,0.0,11.0,0.0,20.0,51.0,100.0,3.0,0.0,0.0,0.0,0.0,100.0,41.0,63.0,0.0,40.0,12.0,0.0,91.0,94.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,41.0,0.0,55.0,40.0,100.0,17.0,49.0,0.0
0.0,16.0,9.0,0.0,3.0,32.0,0.0,7.0,0.0,0.0,21.0,53.0,0.0,18.0,20.0,0.0,22.0,31.0,0.0,19.0,19.0,0.0,27.0,19.0,0.0,10.0,21.0,0.0,36.0,46.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,11.0,0.0,0.0,42.0,0.0,0.0,22.0,7.0,0.0,0.0,53.0,0.0,7.0,7.0,0.0,16.0,27.0,0.0,10.0,12.0,0.0,0.0,16.0,0.0,3.0,10.0,0.0,0.0,7.0,0.0,50.0,61.0,0.0,8.0,22.0,0.0,0.0,60.0,0.0,16.0,11.0,0.0,20.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,59.0,23.0,0.0,4.0,9.0,0.0,9.0,6.0,0.0,15.0,0.0,0.0,32.0,32.0,0.0,0.0,16.0,0.0,45.0,60.0,0.0,0.0,27.0,0.0
converged,97
